entity,records_lost,int_records_lost,year,month,sector,method,data_sensitivity,source_name,interesting_story
US Customs and Border Protection,"100,000",100000,2019,Jun,government,hacked,2,Washington Post,y
Click2Gov,"300,000",300000,2018,Dec,financial,hacked,3,Fortune,n
SingHealth,"1,500,000",1500000,2018,Jul,healthcare,hacked,4,Straits Times,n
Quest Diagnostics,"11,900,000",11900000,2019,Jun,healthcare,poor security,4,NBC News,n
Australian National University,"200,000",200000,2019,Jun,academic,hacked,4,Guardian,n
Canva,"139,000,000",139000000,2019,May,web,hacked,2,ZDNet,n
First American Financial Corporation,"885,000,000",885000000,2019,May,financial,poor security,4,Krebs on Security,n
Chtrbox,"49,000,000",49000000,2019,May,media,poor security,1,Techcrunch,y
WiFi Finder,"2,000,000",2000000,2019,Apr,app,poor security,1,Techcrunch,n
Toyota,"3,100,000",3100000,2019,Apr,transport,hacked,2,Bleeping Computer,n
BreedReady,"1,800,000",1800000,1999,Mar,web,poor security,4,The Guardian,y
Vårdguiden,"2,700,000",2700000,2019,Feb,healthcare,poor security,5,ComputerSweden,y
Dubsmash,"162,000,000",162000000,2019,Feb,app,hacked,1,The Register,n
ShareThis,"41,000,000",41000000,2019,Feb,web,hacked,1,The Register,n
HauteLook,"28,000,000",28000000,2019,Feb,retail,hacked,1,The Register,n
Animoto,ALL,0,2019,Feb,app,hacked,7,The Register,n
EyeEm,"22,000,000",22000000,2019,Feb,web,hacked,1,The Register,n
8fit,"20,000,000",20000000,2019,Feb,app,hacked,1,The Register,n
Whitepages,"18,000,000",18000000,2019,Feb,web,hacked,1,The Register,n
Fotolog,3M,3000000,2019,Feb,web,hacked,1,The Register,n
Armor Games,"11,000,000",11000000,2019,Feb,gaming,hacked,1,The Register,n
BookMate,"8,000,000",8000000,2019,Feb,web,hacked,1,The Register,n
CoffeeMeetsBagel,ALL,0,2019,Feb,web,hacked,1,The Register,n
Artsy,"1,000,000",1000000,2019,Feb,web,hacked,1,The Register,n
DataCamp,"700,000",700000,2019,Feb,web,hacked,1,The Register,n
Ixigo,"18,000,000",18000000,2019,Feb,transport,poor security,1,Techcrunch,n
YouNow,"40,000,000",40000000,2019,Feb,web,hacked,1,Techcrunch,n
Houzz,"57,000,000",57000000,2019,Feb,retail,hacked,2,Techcrunch,n
Ge.tt,"1,800,000",1800000,2019,Feb,web,hacked,1,Techcrunch,n
Coinmama,"450,000",450000,2019,Feb,financial,hacked,1,Techcrunch,n
Roll20,"4,000,000",4000000,2019,Feb,gaming,hacked,1,Techcrunch,n
Stronghold Kingdoms,"5,000,000",5000000,2019,Feb,gaming,hacked,1,Techcrunch,n
Petflow,ALL,0,2019,Feb,retail,poor security,1,Techcrunch,n
500px,"14,800,000",14800000,2019,Feb,web,hacked,2,PetaPixel,n
GovPayNow.com,"14,000,000",14000000,2018,Sep,financial,poor security,2,Krebs on Security,n
Cathay Pacific Airways,"9,400,000",9400000,2018,Oct,transport,hacked,3,ABC News,n
Chinese resume leak,"202,000,000",202000000,2018,Dec,web,poor security,2,HackenProof,n
Blur,"2,400,000",2400000,2019,Jan,tech,oops!,1,ZDNet,n
Blank Media Games,"7,600,000",7600000,2019,Jan,gaming,hacked,1,ZDNet,n
WordPress,"76,500,000",76500000,2018,Aug,web,poor security,1,ZDNet,n
Google+,"52,500,000",52500000,2018,Dec,web,poor security,2,The Verge,n
Quora,"100,000,000",100000000,2018,Dec,web,hacked,1,NY Times,n
Marriott Hotels,"383,000,000",383000000,2018,Nov,retail,hacked,3,"NY Times, CNET",n
NMBS,"1,460,000",1460000,2018,Dec,transport,oops!,2,Flanders Today,y
Facebook,"50,000,000",50000000,2018,Mar,web,hacked,1,Guardian,y
